ID;Block;Trial;Haptic;Color;A1;A2;Participant number
1321;Solid;1;True;Red;4;6;1
1221;Solid;2;True;Neutral;4;6;1
1121;Solid;3;True;Blue;4;6;1
1122;Solid;4;True;Blue;5;7;1
1322;Solid;5;True;Red;5;7;1
1311;Solid;6;False;Red;4;4;1
1222;Solid;7;True;Neutral;5;7;1
1111;Solid;8;False;Blue;4;5;1
1223;Solid;9;True;Neutral;4;7;1
1323;Solid;10;True;Red;5;7;1
1312;Solid;11;False;Red;4;4;1
1211;Solid;12;False;Neutral;4;4;1
1313;Solid;13;False;Red;4;4;1
1123;Solid;14;True;Blue;4;7;1
1314;Solid;15;False;Red;4;5;1
1112;Solid;16;False;Blue;4;5;1
1212;Solid;17;False;Neutral;4;4;1
1324;Solid;18;True;Red;5;7;1
1213;Solid;19;False;Neutral;4;5;1
1113;Solid;20;False;Blue;4;4;1
1124;Solid;21;True;Blue;5;7;1
1114;Solid;22;False;Blue;4;4;1
1315;Solid;23;False;Red;4;4;1
1224;Solid;24;True;Neutral;4;7;1
1325;Solid;25;True;Red;4;7;1
1214;Solid;26;False;Neutral;4;5;1
1125;Solid;27;True;Blue;4;7;1
1225;Solid;28;True;Neutral;4;7;1
1115;Solid;29;False;Blue;4;4;1
1215;Solid;30;False;Neutral;4;5;1
2210;Liquid;30;False;Neutral;4;4;1
2111;Liquid;31;False;Blue;4;3;1
2112;Liquid;32;False;Blue;4;4;1
2211;Liquid;33;False;Neutral;4;4;1
2113;Liquid;34;False;Blue;4;2;1
2114;Liquid;35;False;Blue;4;2;1
2221;Liquid;36;True;Neutral;4;6;1
2121;Liquid;37;True;Blue;4;6;1
2122;Liquid;38;True;Blue;4;7;1
2222;Liquid;39;True;Neutral;4;7;1
2321;Liquid;40;True;Red;4;7;1
2322;Liquid;41;True;Red;4;7;1
2323;Liquid;42;True;Red;4;7;1
2223;Liquid;43;True;Neutral;4;7;1
2324;Liquid;44;True;Red;4;7;1
2123;Liquid;45;True;Blue;4;8;1
2224;Liquid;46;True;Neutral;4;8;1
2225;Liquid;47;True;Neutral;4;8;1
2311;Liquid;48;False;Red;4;3;1
2312;Liquid;49;False;Red;4;2;1
2124;Liquid;50;True;Blue;4;7;1
2212;Liquid;51;False;Neutral;4;2;1
2125;Liquid;52;True;Blue;5;7;1
2213;Liquid;53;False;Neutral;4;2;1
2313;Liquid;54;False;Red;4;2;1
2214;Liquid;55;False;Neutral;4;2;1
2215;Liquid;56;False;Neutral;4;2;1
2325;Liquid;57;True;Red;4;7;1
2314;Liquid;58;False;Red;4;2;1
2315;Liquid;59;False;Red;4;2;1
2115;Liquid;60;False;Blue;4;2;1
3110;Gas;60;False;Blue;4;4;1
3211;Gas;61;False;Neutral;4;4;1
3121;Gas;62;True;Blue;4;7;1
3111;Gas;63;False;Blue;3;8;1
3321;Gas;64;True;Red;4;7;1
3311;Gas;65;False;Red;3;6;1
3221;Gas;66;True;Neutral;4;7;1
3112;Gas;67;False;Blue;3;7;1
3212;Gas;68;False;Neutral;3;8;1
3312;Gas;69;False;Red;3;8;1
3313;Gas;70;False;Red;4;4;1
3213;Gas;71;False;Neutral;3;5;1
3314;Gas;72;False;Red;3;6;1
3113;Gas;73;False;Blue;3;6;1
3214;Gas;74;False;Neutral;3;6;1
3122;Gas;75;True;Blue;4;6;1
3215;Gas;76;False;Neutral;3;6;1
3315;Gas;77;False;Red;4;6;1
3322;Gas;78;True;Red;5;7;1
3222;Gas;79;True;Neutral;4;8;1
3114;Gas;80;False;Blue;4;7;1
3123;Gas;81;True;Blue;4;8;1
3223;Gas;82;True;Neutral;4;8;1
3124;Gas;83;True;Blue;4;8;1
3115;Gas;84;False;Blue;4;8;1
3125;Gas;85;True;Blue;4;8;1
3323;Gas;86;True;Red;4;8;1
3224;Gas;87;True;Neutral;4;8;1
3225;Gas;88;True;Neutral;4;8;1
3324;Gas;89;True;Red;4;8;1
3325;Gas;90;True;Red;4;8;1
