Date:;202313130510
Participant:;1
B-LS Block:;Solid;Liquid;Gas
Block 0:;Solid;Config:;(Red, True)
Trial:;5
Answer 1:;Agree;Answer 2:;Agree
Block 0:;Solid;Config:;(Blue, False)
Trial:;4
Answer 1:;Neutral;Answer 2:;Neutral
Block 0:;Solid;Config:;(Neutral, False)
Trial:;3
Answer 1:;Neutral;Answer 2:;Neutral
Block 0:;Solid;Config:;(Red, False)
Trial:;2
Answer 1:;Neutral;Answer 2:;Neutral
Block 0:;Solid;Config:;(Blue, True)
Trial:;1
Answer 1:;Neutral;Answer 2:;Neutral
Block 0:;Solid;Config:;(Neutral, True)
Trial:;0
Answer 1:;Agree;Answer 2:;Agree
Trial:;6
Answer 1:;Neutral;Answer 2:;Neutral
Block 0:;Solid;Config:;(Blue, False)
