Date:;202317145726
Participant:;1
Block;Trial;Haptic;Color;A1;A2
Solid;2;True;Neutral;FullyDisagree;Neutral
Solid;3;True;Red;Disagree;Agree
Solid;4;False;Blue;FullyAgree;Neutral
Solid;5;True;Neutral;Disagree;Agree
Liquid;1;False;Blue;Disagree;Neutral
Liquid;2;True;Neutral;Neutral;Neutral
Liquid;3;True;Red;Agree;Agree
Liquid;4;False;Neutral;FullyAgree;Disagree
Liquid;5;False;Neutral;Neutral;Disagree
Gas;1;False;Blue;FullyDisagree;Disagree
Gas;2;True;Red;Disagree;FullyDisagree
Gas;3;False;Red;Disagree;Disagree
Gas;4;True;Neutral;Agree;Agree
Gas;5;True;Blue;FullyAgree;FullyAgree
